embedding_x,embedding_y
18.143661,-5.2319865
13.970681,-7.333485
15.44051,-7.0101686
-9.656019,14.42499
-8.262386,3.645048
14.90958,-6.492281
16.324263,-6.9727907
8.691045,13.7484
20.416864,-5.6160617
20.138313,5.412047
2.497368,13.159141
-9.825418,14.8782625
20.737099,-5.879226
-8.554857,4.3321614
15.455527,-7.157453
20.731554,-5.861623
-11.538416,-1.8166463
-10.044175,14.926428
-13.57731,-4.6246
20.459015,-5.690615
20.310768,-5.7370815
-5.709946,16.970098
14.777995,-6.398697
12.126751,6.5668807
16.266314,-6.9595413
-13.579854,-4.629644
13.147441,1.569872
-12.531992,2.6976314
8.7453375,-4.2824864
8.6080885,3.077217
19.31904,-3.5692368
8.693369,-3.5387375
-12.532075,3.2035053
-3.7541459,5.57719
-9.531749,13.520736
12.201766,6.589169
20.71312,-5.8442802
7.072548,-2.0414402
19.474257,-4.980332
4.4232693,1.0912498
12.047924,7.278291
11.6379795,-6.554457
18.112848,-4.2124114
-8.343778,4.839834
-11.520649,4.6346416
-11.544194,4.6145277
4.6421733,4.4857993
20.72679,-5.8429933
8.659406,-3.5304976
9.974923,-3.1637166
-12.382016,2.6390605
7.526939,-14.870083
-2.5016377,20.030914
4.6169934,19.488682
10.133032,-5.857134
-11.913821,-1.9505236
2.3701797,19.492813
14.307576,2.574578
4.588342,19.528858
-8.263396,3.9193583
-10.150649,7.225166
20.147387,5.6087565
10.284069,19.461063
-4.967619,-5.115292
15.269996,13.178259
-0.014573494,3.5380085
20.749786,-5.875937
9.234655,-3.9144216
20.636295,-5.7925615
18.337687,-5.409007
16.288849,-6.947814
19.21987,-4.7936754
-13.564745,-4.6084924
-11.30288,-2.1412427
-13.578895,-4.6234484
-0.7801785,19.303644
13.938149,-7.3259873
20.481098,-5.7066617
3.142061,-6.380081
-11.531601,4.6270695
-13.566653,-4.6075096
14.117212,-7.0320234
-11.358332,-2.117659
5.9471526,3.7307696
-8.642257,2.230724
10.145512,-5.889959
12.139349,14.713509
-12.462621,2.6670856
4.5840116,19.53158
11.706249,-6.3164287
13.004521,1.4963388
-9.562846,13.553655
12.557532,7.1264744
-2.8094945,10.71281
14.9143915,-6.4716306
-3.7649214,5.5661387
20.642027,-5.7989035
19.481125,-3.411228
-12.376367,2.5842962
9.595211,-7.8258224
10.232889,-6.4608574
-10.208449,-2.4167035
-0.06752337,3.508418
14.901093,-7.5058584
6.7564425,8.306542
7.891853,14.296403
13.603703,-7.3296967
10.343838,-6.3569503
-2.7629244,10.672056
-13.555792,-4.5967035
18.492994,-4.5000806
-14.548168,-7.2555842
2.083481,19.798868
-13.5783825,-4.622686
13.086249,14.368938
15.54877,-7.0675387
12.0746355,7.313351
-4.1268377,-5.9303713
20.39795,-5.6404834
18.745642,-4.6881156
16.28175,-6.952768
15.302711,-5.957656
13.060491,14.271067
14.0609865,-4.7135897
14.036075,1.9360099
19.267736,-4.5653358
13.57942,-5.987497
-13.578163,-4.6232347
13.80161,2.5524213
14.294296,2.5905163
-4.9829636,-5.103167
14.0993805,-5.404179
6.73632,8.230575
6.4415317,9.915992
6.7111216,8.266122
-8.315644,4.8508506
14.075565,-5.0486226
-2.8112438,10.7532
-11.933268,-1.9687407
7.4412713,-2.3714721
-2.787979,10.807426
-8.339447,4.7992973
10.329007,-6.1498203
14.870576,-6.4458075
19.749931,4.9797297
10.225151,-6.053859
13.925497,-7.4679933
14.07925,-5.06069
7.1065392,8.56182
7.0458694,-2.0226562
14.160948,2.2603164
6.677004,9.002309
-9.942397,14.956567
2.5242093,13.134804
13.272167,-7.2621717
-10.002185,12.465857
8.617611,3.0744221
6.8531737,-4.065865
-2.0880773,11.445433
-2.7799976,10.707923
-2.7922473,10.864544
13.52025,2.3172936
13.687672,-5.966088
7.3941083,-2.3395631
4.594663,19.523731
-8.300808,4.867672
8.548216,13.684225
-9.9200735,-8.8441515
14.890325,-7.5334477
20.605879,-5.790152
2.3560116,19.504696
19.555073,-5.007392
9.333559,-4.0521603
13.292877,-7.2417474
14.57748,-7.663398
6.9165854,-3.8924859
-0.76945144,19.285923
-3.7546983,5.5765905
7.577417,-14.920487
15.678053,-7.1314416
7.898868,14.285344
16.291061,-6.950532
12.091629,-4.7497683
15.002332,-6.8179564
-10.466118,2.7310734
0.89983666,20.049044
13.102814,1.55856
20.720707,-5.849851
-2.2374701,19.96409
13.600882,-7.336733
19.313713,-4.3483753
14.829045,13.493758
-13.546261,-4.5870166
20.323381,-5.759202
-2.0606027,19.924465
-8.787061,2.171695
-4.116419,-5.942028
-13.564943,-4.608872
-8.3236,4.8449683
13.314354,2.2219157
-13.576607,-4.6231813
-12.6501875,2.8202398
2.972106,-6.50977
-12.884473,3.0786986
14.938995,-6.4869175
-4.121159,-5.937107
13.630589,-7.434356
12.692173,14.698236
-12.408885,2.6231475
6.8101797,-4.2044206
13.904684,-7.0832553
15.05116,13.089313
-9.853411,14.088516
-4.109397,-1.4271432
-10.193023,-2.4186678
6.510035,9.970748
14.591361,-6.457563
0.48353696,-9.983713
0.9425334,20.073551
13.586006,2.006976
20.282635,-5.7274847
15.525188,9.011197
-8.801661,8.724949
4.444536,1.1127809
0.48145702,-9.914317
8.446575,4.6734996
8.8251295,-1.4650698
-8.487607,-15.7751465
12.36583,6.7676506
19.474344,-3.4152439
-8.487378,-15.775181
20.19067,11.768036
-4.966465,-5.119897
-4.1182904,-5.9404454
20.718138,-5.836483
12.146753,6.5289373
2.0819016,19.715023
12.492593,6.9965568
14.079982,-5.0534196
9.084694,-3.74637
9.009026,-3.9048703
14.816833,12.996019
20.677666,-5.8426685
20.64066,-5.8402433
13.382406,-7.4046044
-3.7532513,5.5781794
9.37052,-3.9407022
18.014355,-5.2430444
15.504051,9.064663
18.478346,-5.0807376
12.984164,14.495599
8.83849,-1.4819025
14.898503,-6.4621177
15.319924,-5.9364843
2.373202,19.491314
14.2934475,2.558115
18.215992,-5.322264
-8.2755575,4.036422
-11.303206,-2.1456575
20.691133,-5.8314567
6.7029443,8.970381
13.538272,-5.9897957
-3.6284792,10.997372
10.05132,-7.2871027
-2.0912664,11.445045
11.085517,-6.238476
8.87256,-3.336796
20.353844,-5.6132812
7.253677,8.435351
18.856009,-4.7638307
12.977346,1.4682434
13.9791765,-6.993837
20.683554,-5.8200026
19.532204,-4.9658985
12.263841,6.6740956
14.560345,-6.3244967
18.69083,-4.64091
13.232209,-7.413674
19.307878,-4.8543725
4.5782814,19.53854
19.329283,-3.5623586
19.042816,-4.826176
15.975427,-7.0543227
13.9024,1.9563395
19.289572,-3.6317754
2.9109101,-6.5715327
3.042671,-6.455765
-2.8493135,2.6299477
20.292316,-5.576434
19.958572,5.113171
0.3397019,-2.1464207
6.742514,-4.7435594
14.424849,2.2910597
19.35748,-4.525694
6.6634607,9.012084
-9.585452,13.606697
7.283289,8.44705
9.336706,-3.9336913
7.029267,-2.000294
-10.149142,7.2113695
13.537233,-5.984376
18.069927,-5.263205
2.924303,-6.5553937
13.630299,-5.973298
-8.274296,4.8964634
3.1656108,-6.3562446
12.861488,1.3658085
-13.653104,-10.90508
6.4163103,-6.3863454
15.524701,9.036464
16.29096,-6.9087377
19.343079,-4.4156175
9.382441,-3.901748
9.034816,-3.913214
10.384062,19.560375
14.535309,13.173742
19.169764,-4.66082
6.3151536,22.67896
14.089797,-5.9100714
13.553885,-5.984232
0.8526593,20.024343
18.055285,-5.308628
11.895452,-4.519193
19.503641,-4.935278
2.3803513,19.486843
7.2987394,8.430103
13.171963,1.5844249
10.148684,-5.870022
3.2204955,-6.31497
20.30838,-5.703327
12.069497,7.2371616
15.641301,-7.1262655
-8.297542,4.8694277
10.736355,-6.7820687
-8.48626,-15.7822275
2.8410165,-6.635015
13.323362,-7.014518
-11.662454,4.4882708
11.895725,-4.519967
7.382772,-2.3006961
16.285341,-6.9212284
-8.481985,-15.789501
8.547425,13.6723995
3.3900962,11.014055
4.5843005,19.532122
20.200783,-5.5132318
-4.1428213,-5.91497
19.499826,-3.3924208
10.138201,-5.8742504
19.474096,-3.4153159
8.46759,13.713183
12.93447,1.4111537
13.965564,2.1801717
-9.79517,14.928561
-9.939263,14.96772
-4.012854,-0.73932433
-9.915622,-8.850281
14.966294,-6.6131725
-8.490634,-15.774294
-3.6141882,11.006581
14.172999,1.9848229
-3.8887277,-1.9407697
11.862344,14.329754
20.213873,-5.505094
7.055887,-2.0267203
-8.675791,2.183319
8.997443,-3.7922535
14.4833555,-6.2698717
-9.571827,4.108634
0.73139846,19.957628
20.124899,5.249369
20.232742,-5.7150083
10.682996,-6.0750036
13.084329,1.5574939
13.965014,-7.106457
-10.056874,14.899788
14.969741,-6.602558
12.073574,7.277656
-8.483557,-15.787151
6.8158,-4.403193
19.622673,-5.0674915
18.040699,-5.2801957
8.579988,3.7189944
13.948678,2.628563
12.140262,14.705861
2.7703707,-6.7061453
8.65781,-3.5305507
15.543882,8.98194
7.5617967,-2.448235
13.782233,-5.946831
-8.276089,4.0219564
19.424555,-3.4673707
17.911879,-4.000467
13.989122,-7.104041
14.094407,-5.102947
10.144851,-5.874041
-11.308705,-2.1448224
14.11527,-5.985052
18.010725,-5.229583
12.596356,13.789166
12.911872,1.3930503
14.363212,2.5578747
6.839258,-4.073975
16.279982,-6.9262533
14.463034,13.420265
20.192375,11.766319
-9.45935,14.18415
-10.471754,2.7289689
13.301634,-7.4015465
12.4705515,14.710978
7.1782746,8.937866
11.8379755,-4.4493895
7.0675983,-2.034717
10.155526,-5.897009
13.077398,14.363804
6.724257,8.934456
14.068479,-4.8592696
12.175712,14.719527
19.47332,-3.4354627
-1.972069,19.885273
7.6185045,8.776833
-4.1105895,-13.405426
-3.0413628,11.26553
19.22557,-4.8037024
0.70749575,19.944845
20.701302,-5.839246
10.295848,-6.0810814
7.3994794,8.538465
-8.293692,4.874463
-8.777981,1.8540902
19.475006,-4.9377394
10.246455,-6.4642377
19.324253,-3.5696838
8.741899,-4.263949
11.920327,14.529183
-5.754739,17.012217
12.575559,7.1312833
15.149145,-6.8919764
15.312038,-5.948602
-5.6409535,16.898418
19.622576,-5.0680056
8.875404,13.824284
-2.8653376,2.6218088
12.070383,6.788991
12.302554,7.2139773
7.062804,8.4880905
6.7818594,8.338029
18.647604,-4.9367623
14.084591,2.5319614
9.297951,-3.9424274
7.0261507,-1.9968868
12.067036,7.2763658
20.398653,-5.648005
14.055075,-4.6215672
19.316532,-3.5711167
-2.3641887,19.942896
-10.820322,-2.3125813
7.7578773,-3.1636562
-9.909483,-8.854965
10.391425,19.567522
7.3308077,-2.8808036
-10.173295,-2.4006567
12.410961,6.8107376
7.9564695,14.22585
10.799044,-6.1013613
10.297089,-6.1141224
-10.140836,7.2372494
12.556476,7.1049786
-1.540315,19.830267
-0.74528646,19.249334
-9.909446,-8.854841
19.432037,-3.456817
8.837717,-1.4832261
4.424289,1.0923345
8.842787,-1.480174
8.847283,-1.4850564
8.845153,-1.4795047
8.783206,-4.3019166
2.9708045,-6.5097284
-10.817877,-2.312563
2.5096304,13.152083
-2.7750924,10.697745
2.0445704,19.66817
4.5718536,19.547142
12.143081,14.05012
18.355368,-5.413692
11.838203,-4.4521184
-4.081435,-13.428635
-9.925851,14.987491
20.2792,-5.722785
14.445038,-6.24072
19.458559,-4.967355
15.50079,-7.138628
14.055564,-4.6376724
-8.466632,-15.817308
-8.691796,2.1578972
20.3694,-5.615261
16.281355,-6.959969
-10.144636,7.232049
15.589683,-7.1160293
-8.31379,3.489764
15.5138235,9.045275
-9.993859,14.151875
11.107318,-6.542431
14.098665,-5.3528214
13.583132,-6.000518
6.503115,-4.5491705
-4.1297197,-5.929033
10.214438,-6.025841
15.30311,-5.95351
20.291214,-5.781448
6.588337,-4.436789
20.669638,-5.7875056
14.549563,-7.6459527
14.453107,-6.3199167
-2.040397,20.230598
14.053859,-4.6222334
-9.920119,-8.84451
4.5772176,19.541317
19.31414,-4.5457025
